S/N,Category,Title,Price,Item_url,Image_url
1,shoe,ASICS Tiger Mens Gel-Diablo Suede Workout Running Shoes Sneakers BHFO 9669,$25.19 to $32.39,https://www.ebay.com/itm/333916816226?hash=item4dbefe4362:g:0NkAAOSwTc1hTKKB,https://i.ebayimg.com/thumbs/images/g/0NkAAOSwTc1hTKKB/s-l225.jpg
2,shoe,Canvas Pumps Mens Womens Chuck Taylor All Low Ox High Top Trainers ,$26.00 to $28.90,https://www.ebay.com/itm/363315888445?_trkparms=ispr%3D1&hash=item549750813d:g:2mMAAOSwvblc5k4P&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS5%252FLJbfonbQUYd49AU1AJY%252FyHi6dUuLtX9s5vab%252FshwMVYU6bujvMf%252B06JeY9m7fbeOERz5CPP8S7Gfu5V8fuHhu5Lo8zqKmW1kezfB9ZiqXlEV9CBqT7XhIN39Rzda5W51vYoPtoCfjviPgq%252FqEzpyjWfsV1wo4nY4jmQrJ4k83ote4z%252B%252BxnW5mUisEVBkYbSQ7e1V6vFgc6lE8qRVZiUDVYJP%252FlDb%252B8Kb5OwOsyj73U2VZtOd5zz%252F0qokXH%252Bn5vBV3FsFSkBdFPRwgU%252Banlu5kjrhuDsytzurgdnGxMD9oPbi%252Bqg%252BkiEs71ymSBe9KyRrAZEvushMlKfGLtBiXCIIUVS%252FtYivKFSg4%252FgTLOpIPxihTJgRegUbm2tKLmTrF9okD%252FB3quQl1ZQrjDZipo3Mp8xpnp6fZjyALi0ZKUGgv97EWg1fOBhwjGvQsGLsjAfOPurwLNxNJxgWRUqueOS1BEAzf7uTcbzOigem6%252FaKGQiIBcHYTdtRIaegSzW5ud%252F7w3DGSSspdt7%252B76dEQjlgCJQaRZ3vLS%252FwzKzK074EfNYHRk25LsjNopV%252B7K1j5pNRVFxtV8gxVDBZfIs0rseJUtA2rQglFAoeZpWBwRqXSWlw39vhsXeC%252FCPr%252Bs8QACFzVEONxYNd1RrgWI%252FL3mpmF5c15eZ9D9CnGPQBjsR5%252Fp1MrjoBcr5dXpZgo052A6oCUb8eDf2tX%252Ff5D8CLlVDcrWZHp43SQ0iIV2ZJeZEc7Xefv%252BCK%252B3MpjxC%252BC7LqGP9DMs2jr4LTrPzJtkUxeWUluGR2RAWUxFBp9jNZOW%252FW0Fv8PsUEqXN3NC6VxJA%252Bpo%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/2mMAAOSwvblc5k4P/s-l225.jpg
3,shoe,DC Shoes Pure Men's Leather Low Top Classic Skateboarding Sneakers,$31.49 to $49.49,https://www.ebay.com/itm/293624786898?hash=item445d66afd2:g:8PMAAOSwzUpgIuC-,https://i.ebayimg.com/thumbs/images/g/8PMAAOSwzUpgIuC-/s-l225.jpg
4,shoe,Insoles Insert Shoe Arch Support Carbon Fiber Rigid Inserts Flat - Size US 5-13,$49.45,https://www.ebay.com/itm/202720033488?_trkparms=ispr%3D1&hash=item2f330e3ad0:g:Q5EAAOSwWUJf61rC&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSjVt3vLKCbov98Z19qhuwY%252FGJjYzL39qW6t0XHdkVeFG1B9NnG1HAf7y8fMbXmQqfSR7vMdZgh6mqb4TXWymb%252FpJTDLWlu40WZiGyQRuu9CzZFBE7RIYDPGw%252FqT5UZQW0eKqepmhrvGU4Ntr6P5WEL%252BanBQxQivnjPqzwOG8nQl5F1vaH1dqhY5c7vOXaSeqr1OIM2%252BIFTp9VXs709it6lM%252FGr0G3cjzLF9Yb%252Bu5upa%252BHFeu1jerf9B1xmtkfzueImk%252FJf1DyFtLufHXWBd7hdEBXglS2FxrMOe%252FLfZpsuQEB7QILi%252BXinsdvek51pPw4JvW30PNR1%252Fg5%252FzJY0LbK7uXHzAWQ4%252Brnz%252BokK2cH%252F7n0%252BtPYmZSyDiPGH5Sk%252FCfmieBbp%252Bc5WrCtabrdF7Hcla52judzpmpHmYnkWAv6AfnqSxLYltfaejykYDX1H49q2KCvg5EvkDHRzpr9Qg%252BopAnWn6ABpNgIaP7UpoFM3k80%252FVAyWeQfKmy56hmnsglrF4a3qBnx5WfqxSGsRieUgL7erQl%252FTZYJf%252FNyjkxXYSYh0Bp42VnBubAK9BIb0s5eVPLxpKrPotLARRtNSxYZNRIwzE13yMaAhaZho25A0boWaLhl3KSYdulD9LRbyp8ThlhDTcNlwa7pxrqHv%252BYu%252F0uHwUE6e9pIOwh%252FItrAoovdT68mqsXXZc6wFP48i1Wpo0%252FEKD2jNdQ7aqzHZz8RIDgw0YT3dgb0vnIaeNF3qqqlcTJ9dtu6MRi23hXYfMbjgDeSLAsR%252Bek%252BIcc32bm55fsvdiTQcGwUY%252FzKP7ixi5Z1rvFb0g2cvLjyM%252FfMEvsU%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/Q5EAAOSwWUJf61rC/s-l225.jpg
5,shoe,"Nike Air Huarache Running Shoes, 318429-040, Gray/White, Leather, Men's US 9.5",$20.99,https://www.ebay.com/itm/165090788706?epid=22039809436&hash=item26702d8562:g:5IsAAOSwsX5hTjy~,https://i.ebayimg.com/thumbs/images/g/5IsAAOSwsX5hTjy~/s-l225.jpg
6,shoe,Air Jordan Retro 9 “UNC” Shoes Size 10 Blue & White Men’s,$20.00,https://www.ebay.com/itm/115010616893?hash=item1ac72abe3d:g:gjgAAOSwVhhhTW6r,https://i.ebayimg.com/thumbs/images/g/gjgAAOSwVhhhTW6r/s-l225.jpg
7,shoe,[New Balance] 530 Retro Running Shoes Sneakers - White(MR530SG),$99.82,https://www.ebay.com/itm/363011658478?epid=26045036478&hash=item54852e52ee:g:gPYAAOSwG4Be9FtP,https://i.ebayimg.com/thumbs/images/g/gPYAAOSwG4Be9FtP/s-l225.jpg
8,shoe,[New Balance] 530 Retro Running Shoes Sneakers - Beige(MR530SH),$99.82,https://www.ebay.com/itm/362963294641?epid=28045031750&hash=item54824c59b1:g:i3IAAOSwX3xe9FtO,https://i.ebayimg.com/thumbs/images/g/i3IAAOSwX3xe9FtO/s-l225.jpg
9,shoe,Men's ADIDAS LONDON Shoes Trainers City Series Dublin UK 8.5 US 9 42 2/3 90's,$76.57,https://www.ebay.com/itm/115010786526?hash=item1ac72d54de:g:IigAAOSw~KVguMSO,https://i.ebayimg.com/thumbs/images/g/IigAAOSw~KVguMSO/s-l225.jpg
10,shoe,Vans Old Skool All Over Checkerboard Black White Shoes New W/Box Men’s 3.5 - 13,$79.96,https://www.ebay.com/itm/164604869877?hash=item265336fcf5:g:fr8AAOSwkgZfIqZn,https://i.ebayimg.com/thumbs/images/g/fr8AAOSwkgZfIqZn/s-l225.jpg
11,shoe, 	 Puma Future Rider Core Casual Shoes Sneakers US Size 9 - 37403803 100,$60.00,https://www.ebay.com/itm/203625731526?epid=14045637254&hash=item2f690a15c6:g:xmwAAOSwgxRhTjBh,https://i.ebayimg.com/thumbs/images/g/xmwAAOSwgxRhTjBh/s-l225.jpg
12,shoe,Nike Lebron XI 11 Everglades Lace-Up Basketball Shoes Men’s Size 14 616175-006,$80.00,https://www.ebay.com/itm/324802421725?epid=9039816354&hash=item4b9fbba3dd:g:It8AAOSwz8hhTk3p,https://i.ebayimg.com/thumbs/images/g/It8AAOSwz8hhTk3p/s-l225.jpg
13,shoe,3 Pairs Mens  Ladies Invisible Socks Trainer Shoe Liner Black White Grey Sock ,$3.41,https://www.ebay.com/itm/384334917060?_trkparms=ispr%3D1&hash=item597c256dc4:g:4D8AAOSwr6NhLw1R&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSQuF9OYLb3wphIAOfpJK8RtXvWBEw8SzuEElENcgwByFl4Gv414zY%252B%252Fk%252BYrz0XAayaPPC8BNGKEs8w7GRVxaV3UWlnz3IWDazf0HfIzo9%252BW8R%252F1bmA6N6i0K5v5WvQQAHWWqZCUgjZ8ivjWVrhfZkz%252FM0N843unbYL%252FxPeNlWc1BvFoinYyPQIPzFIw4j8rwZuf6FOYIgaq12R7Gq04eGXHZx1IA%252F71wEKVbSxT%252BP3T4Yz%252FyR52dm6EuxmOE2xenT3PcEIne%252FijoxwzKVLcHhtx853T326N84SHwy3qftKBQMRf2cu2uoPg8EULkKu5vwvwSNIDzcKnqq9Ps521ZvLReEQcjKttaTNlypUh7ZiR1T4oYGlJrPR4CyOGw6mu564wjZvtoTrBl%252BitROWztjRl%252FFDn6yzKvu0hLSq9fOHCKomOsaJ8RwXYzdHTjaUfjrY8XEeFVvRYS%252B1QVvSHMrxGRkDckGAXuIO2LRX5Axrehq8R5uNo0F8m9k06KwkpPw3SARwwbPukhkkWIu3A9XcnU%252BbV2f69T%252FC69IEgLqAmL7%252BAV3TSdX7oelE6jS8V4in%252FBiEAsiA3Un5WliGVMYCQcV7NNYZK0nfQdiCycNUySlzP%252FipRlEITYy2Kttjnl%252FlC4JJiofSFtihLiJU%252B99YL9ihKkkH4X%252BABj0EtYxw8Atczp38ZXRCvd3LN6D4nmIoFF1VSC2W%252Bqz1vBMj3BT6oAZStTv42LG7meqPYf81i9R29%252B9xeoFbGmbeJMUAHmWbI%252FOz2Z0h6jVTPBgCPOpZD0LIScs%252BZ%252BMzn1022xOHAvBuU4%252FpHMOtaswu%252B3M69tR%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/4D8AAOSwr6NhLw1R/s-l225.jpg
14,shoe,Water Shoes Men Summer Pump Breathable Sneaker Swimming Boat Athletic Sport Shoe,$13.99 to $15.99,https://www.ebay.com/itm/353493371116?_trkparms=ispr%3D1&hash=item524dd8c8ec:g:VUYAAOSwbSFe5sW8&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd0ReTLyM7cxPnI6zs468EDuQg9gaOyTem2x2RNN%252B5I5ayFHoNTTlih4CRjq6SKUS9ojZ8IinF5ABGNkGZOhEVOpD6df5nGmHLO1GiBZtksa1BMa%252Bm6kNkJ3WiCYvdceFsa2CUc6hSBH4EPiVQ%252BW4DpJLZ51xwBt0FySoJhCuCffpswOaMXG05Yo93wlf0KQOCaTu3XwXn6KaJdPNNr89876HiSTccju7hmQfzbKscqfJP5gouDuEezQCQPpU5MzSyy5FNYV53dStvK9tovhegZeM1vD3mUgPkXlv5Tct2qeLokEwjxBBaqsN8NO1TgduGzeIUE0KEHu7%252Bzz9V%252F700kk6r6qcTZXFOy2RMHMtFhYbcuk4Iehm6ZytpbZApzHmcwuKHDY4RuMQioZpRDpa4bwhAVK7vumNtT5vkkPsbIvcTtRva3BqpX8yUFHeBRvXhBIevf5%252FIZaDBS%252BuVTZ1%252B8K%252Frpwq8PdOlIjJI6FYsJO1A4%252BbDlLfz2PB9amiIScBbUhykr7Cj0suwoIMbEZo8NsuGEkSvn9HzV3xp65WkeF3wcXHoEXsk5HguXWkOoCSup2D4FT7rDcAlGPa%252B%252F9laqN09mFAGr3%252FXIytUtj45s3HT4C8YG2AtpUUgQGuiIQhQkdJrU5Qdk%252BRRx8Fb%252FR%252F36oBwsc6%252F62AkxC9jf0o66nz0Z%252Bw0akJSux%252B2WPtIjHBesF41k3v%252FQ93ss2T%252Bu1UvAmaf%252FU%252FKSXFa76JhmAXf2XWILrNanFHLP6J9vyyAOAJ7i9PkrAx3Mn5zqE%252FwarJYan5eaxltn0iefgp%252FhiN0KAj218z6tvRLW%252BAiOztiHBj%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/VUYAAOSwbSFe5sW8/s-l225.jpg
15,shoe,Puma Unisex ST Runner v2 Mesh Sneaker Low Top Sneakers Running Shoes,$63.25,https://www.ebay.com/itm/133740080050?_trkparms=ispr%3D1&hash=item1f2387abb2:g:vtsAAOSww4hg~Rh5&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSHYXPhGXR5uguexJBeHwfgX8kR2zbPqEJ9YUQRKrGnrLsK%252BhJauoBRK2vxOapXePsZRGxs%252BjJ%252BtW%252BomaUIgLN6jwoVpjyKId63jAC2UtLFDLseRV%252BGF%252BaSk97kT4wfrPIWPNWz%252F%252FZKr6rIaRfHeIMk5loVQGzytTA%252FX3wuSrrCq%252FqAmKjqs5izjna4zbQT%252B089WmHslp%252B7yAfC9ExD9gPXil%252B1D2kJ1QkKoRvIAbU4ViYul1isl1NuG%252BHXxvGF6CYOaDh9PajfE7COhylECPOCEpJQtR6TmO9th9moeS7t31E8EvE6efbljdwWEiT%252FzTkptk0FuZcguZrOT9DklZ8JQkUrQse%252FqodvSxFZVxdKSGqVh6SHfScvqh050WEeP5fWY6FWCvn5I44CtEZJ8rrgijX%252BKbYtERMGymuc16NouZ8FX5UFFunbQHzI%252BM%252Fd%252FC3kSxSz1nXJVNnbrd%252FXV%252ByqwY6tRBNHCcfZt%252F2lq40HpRc3KyS0DmJowgZL2P2w8BiM6K0%252FRbU6FHAzRnyFcrhDbDVBvvWJ%252BS3yEM5NzE6IPlsziIbE7J2vDKuYMfgimsEA7Qa2nUKbrUkI51r4xLdqKMTbNVz2KBtRA45D4EQZn3iyTvh2R5%252BOBYuU3ejzSa7zTQT%252Ba7gLChCI6wjKCaqO9At8dH7bWeMGgRll2sbfDkLNe0QuBaRUm5oUPRZqc8p1Lz4r5GDCaYpsLtl4lgtatMzaPyckovxBwRE9F4ONDUUAn7PaK2Rc%252B5obkAHR970o1sZqNtSnUTMS32jcZyUZwF5OGMmn%252B3%252B8lfJSPCNh3oOaKmaXpP%252FvAZud%252FFXhyhb%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/vtsAAOSww4hg~Rh5/s-l225.jpg
16,shoe,Brooks Glycerin 18 Men's  Size 11 Authentic Cushioned Running Shoes 1103291D064,$65.57,https://www.ebay.com/itm/224623236619?epid=16041365858&_trkparms=ispr%3D1&hash=item344c96960b:g:U8IAAOSwvrNhTzEh&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSvtkx670Z0mbyfWqmxLFLYai1cf3xBwKaCVZXjw2%252FEHuXsX%252BJqaiaQ5cMU9D%252B1E0Bngd37VW9JhJdiVMcVY477tJRuZaMPB60zCa1HPxpNjK9g%252Bbfx5O2rflj9%252FJGWy3HXVIMcJqZIYTpe5CpiHAGShe4i3XZL6DHGwwpn7OTRh2xgBcV59TxFD7LLdf5UnsNir4nSgN8wLyHDJysISkg0872dNEyBAEMF1kqtioPsqdgTQsBP6vtyIpiggg60T3KEYk%252BRsG7C3hZGtYQlnEikCypsgMMGDFamIjP6CiZYOYt7zm7sxBda4tqtrcn4h6CcsI1FTkRqX6goI2%252B7JQGbi%252FsFqN8XOt5JEprmq3s%252B99XBuWih9FBdUHeYvuL9RGc%252B2SO8dTpyE1kLBB%252FTxpexCBUvTArseAAzFnICW7bPwFarDGBcQlTcNMN7RCRkR8MM2rBNZcfLS9Q9PqawZG0Rx4QXZUZA64t6NMbKy5r%252FnQnjZBhpl51fOiRGZhFHAbHzT6wkyDsztuih7CO1JJu%252F3Oc3NiXyIzXq5W9KoNzmWlc8YSkCxEqK3bVEOSO589xLLTQqeI%252BopgEsECIo%252FGgECsstiluc1OJScK3Vbai0kwuXntzaA8AsgNnQZMHlDlPGrJPWW7XWUtTBCbNylBS817Tg3jO%252BO4jFZpfZ2KDdptPYzfGgCnTxAcHIcBoLCq4WaMWc%252B7nkUCR7aKv0GUy5rchx8GSR09eDjI4%252ByNBNsAllllCZyFp29GeWWEDZ2xmNnjwgZMD%252BRPzviLvJA7w4P2FTK0%252Fhmx3OuHCi1fte8LSdDvZen%252FJE4osaPY4X8T8%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/U8IAAOSwvrNhTzEh/s-l225.jpg
17,shoe,"Newton Gravity III Mens M000114 Pop1 Sole Running Shoes, Size UK 9, Yellow",$27.35,https://www.ebay.com/itm/154624870214?hash=item24005c4746:g:5ccAAOSw9OFhTipz,https://i.ebayimg.com/thumbs/images/g/5ccAAOSw9OFhTipz/s-l225.jpg
18,shoe,Air Jordan Spizike Stealth Men's Shoes Size 13 Black Varsity Red 315371-001 Nike,$79.99,https://www.ebay.com/itm/203626708448?epid=2310850171&_trkparms=ispr%3D1&hash=item2f6918fde0:g:HBcAAOSwzelg7Fns&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSjVt3vLKCbov98Z19qhuwY8xfSW%252Fpn2bqvDE%252Fxam1weYsDSgzHbVPs5duVnTdtzotypZquKmY3KPeae47ZN2HxcNwtBgw17F%252F0oLKBeCoRARXJVeaV8jsHBYNLn7%252Bu8vpzPvkvyfzfpv30eI3Jf8DyMrh%252B79xrQz2KUw2AuX4K%252FcTN3bPySCJhcxbNbAq%252FoDrnEi%252BTG63mx7ns5Zo%252Bl3tpMHE5cT0Hjyr1nckApyEjDAGC1pQ2fQJo0h2L8fXW%252FNPPfkQx03IIcMH0%252FwmoyPuqaIUbhom2qJLyYnv0sLF6%252F6qPt7cVb3qx3AZv9Y2QyaTzrp2xAD%252B1aqmFZluO%252Fvhno2vPDhBd9wN8bADtWmuZqfk%252FEnpSlEr5aZVpsFt5em6uTL4LQPfq5l0FQ2QuKfL9oMpIlcE8rjl6456uQ8gzmnuSh0W72Wwz6RdrEv2NQ1%252Bzhlg9F58OFcNSis%252Fnme0LB%252F3TefJzygwArt76dib8N7WkOhWy1Hvz4DVda15u9pdTLLoo1S30MByokfV5FUKbCTyYB4MKTMr1f5Zm1r%252FMHjam0rrKbcjVxsMYOZyQ%252FTA2syHmw5ArACRURDt1yBeBappwNzSBuuVDMHdiI7ofj7tgm7cDKB3DXw%252BnOsa%252Ff2lhJ9hamn96Na4dYaMjwgX8deQWVtmuEce4DIHtYcmmTs8rH%252FQ7djmVhc9aG1%252FudwB9pezEMYVTMeKMri2JPrgkU9WPoRVacuzNOE0ZzrEX%252BZUfXYrcjJJ%252FazR6sJT6OIRq5C71UfaN4xxjR%252FeVqeoycYGLSkwO%252BuF2sU4ojLbDDopi4QgNMQpArb%252Fxslpcgk%252F%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/HBcAAOSwzelg7Fns/s-l225.jpg
19,shoe,Adidas Original Superstar Sneakers/Shoes Shell Toe Mens Size 10 New W/Box/Tags,$65.00,https://www.ebay.com/itm/144218223284?epid=2313164322&hash=item21941372b4:g:yuEAAOSwNk1hT2AV,https://i.ebayimg.com/thumbs/images/g/yuEAAOSwNk1hT2AV/s-l225.jpg
20,shoe,Adidas AR 2.0 Men’s Size 10.5 Basketball Shoes Sneakers Hightop Black,$48.00,https://www.ebay.com/itm/115010675771?hash=item1ac72ba43b:g:s3IAAOSwxOlhT2KN,https://i.ebayimg.com/thumbs/images/g/s3IAAOSwxOlhT2KN/s-l225.jpg
21,shoe,Diadora-Sneakers n.92 for Men and Women,$37.13 to $56.22,https://www.ebay.com/itm/353264600477?hash=item524036059d:g:M2QAAOSwS1hgp7BQ,https://i.ebayimg.com/thumbs/images/g/M2QAAOSwS1hgp7BQ/s-l225.jpg
22,shoe,Vintage Men's ADIDAS TECH SUPER Shoes Trainers City Series UK 9 US 9.5 43 1/3,$25.97,https://www.ebay.com/itm/115010793857?hash=item1ac72d7181:g:uxgAAOSw1CNgu9cJ,https://i.ebayimg.com/thumbs/images/g/uxgAAOSw1CNgu9cJ/s-l225.jpg
23,shoe,S49.156 Men's Lockdown 5 Basketball Shoe,$100.00,https://www.ebay.com/itm/313670812348?hash=item49083cc2bc:g:kH4AAOSwjO1hPM0E,https://i.ebayimg.com/thumbs/images/g/kH4AAOSwjO1hPM0E/s-l225.jpg
24,shoe,Puma Mens Future Trinomic Swift Splatter Athletic Shoes Sneakers BHFO 6503,$26.09 to $28.79,https://www.ebay.com/itm/334067000403?hash=item4dc7f1e453:g:OpAAAOSwjyBg5N9f,https://i.ebayimg.com/thumbs/images/g/OpAAAOSwjyBg5N9f/s-l225.jpg
25,shoe,Men's GIESSWEIN Merino Wool Run Shoes Trainers Sneakers 44 US 10 UK 9.5 Lace Up,$54.69,https://www.ebay.com/itm/115010793803?hash=item1ac72d714b:g:wKwAAOSw0t1hP7zo,https://i.ebayimg.com/thumbs/images/g/wKwAAOSw0t1hP7zo/s-l225.jpg
26,shoe,Man's Sneakers & Athletic Shoes Reebok Royal BB4500 HI2 High Top,$72.99 to $87.00,https://www.ebay.com/itm/124703226698?epid=11022723102&hash=item1d08e43b4a:g:ln4AAOSw329gi66o,https://i.ebayimg.com/thumbs/images/g/ln4AAOSw329gi66o/s-l225.jpg
27,shoe,Nike Air Jordan 5 Retro Raging Bull Red 2021 (DD0587-600) Men's Size 7-15,$260.00 to $320.00,https://www.ebay.com/itm/184928521381?epid=17044905705&hash=item2b0e994ca5:g:HF0AAOSwY1Ng5PC1,https://i.ebayimg.com/thumbs/images/g/HF0AAOSwY1Ng5PC1/s-l225.jpg
